id,left,top,right,bottom,center_x,center_y,dist_muslim,dist_muslim_shia,dist_jewish,dist_theme_park,dist_graveyard,dist_sports_centre,dist_park,dist_attraction,dist_university,dist_school,dist_mall,dist_hospital,dist_bank,dist_department_store,dist_clinic,dist_hotel,dist_pitch,dist_restaurant,dist_swimming_pool,dist_guesthouse,dist_college,dist_library,dist_cinema,dist_shelter,dist_convenience,dist_fire_station,dist_stadium,dist_car_dealership,dist_monument,dist_market_place,dist_police,dist_museum,dist_prison,dist_courthouse,dist_town_hall,dist_castle,dist_cafe,dist_supermarket,dist_fast_food,dist_hairdresser,dist_optician,dist_jeweller,dist_pharmacy,dist_bookshop,dist_computer_shop,dist_mobile_phone_shop,dist_atm,dist_bakery,dist_post_office,dist_doctors,dist_greengrocer,dist_shoe_shop,dist_clothes,dist_sports_shop,dist_recycling,dist_camp_site,dist_beverages,dist_community_centre,dist_gift_shop,dist_camera_surveillance,dist_hostel,dist_kindergarten,dist_furniture_shop,dist_bicycle_shop,dist_beauty_shop,dist_artwork,dist_caravan_site,dist_butcher,dist_travel_agent,dist_chalet,dist_car_wash,dist_doityourself,dist_dentist,dist_food_court,dist_drinking_water,dist_laundry,dist_toy_shop,dist_stationery,dist_florist,dist_chemist,dist_veterinary,dist_motel,min_dist_overall,nearest_type
21248,6056011.291439,3752282.96101881,6056242.23154667,3752082.96101881,6056126.761492835,3752182.96101881,2746.714912021054,2985.481073864771,4158.699523219289,4674.499922828505,1617.3960323299839,2975.6230153490515,1715.4089467789422,1834.570232864546,3622.6099655760554,2277.6826435824073,5697.34897521026,3072.92498977849,3139.844288220547,5004.4904430462475,3050.7547219051207,3377.1559112445443,3539.628852135206,2613.2823470230906,8455.40566979715,3753.2159394761725,2002.9989413180788,2059.4086845531992,5550.96861109582,11062.703767821939,1914.841407063637,6737.96497570524,2424.406697297808,5453.906503481592,3892.2747749234154,4846.557307575788,1888.710396192468,3673.346669066448,1923.1986238707336,6310.051580788598,6469.779187083813,4687.011779505501,2440.1591496257925,2710.9097043706547,3526.4667072597385,4721.83338409113,5341.858174001326,4496.600098465045,3257.0765650973735,6265.529145775824,4418.207796319161,3948.856802051227,10418.849272377149,3802.0224801585514,5413.844232092113,5537.898114527592,4716.776520168223,3751.66004045443,4219.439576743414,10218.965666202528,10229.576517519848,10716.422037504542,10708.320707060971,5571.6373481046,4211.826676107573,15533.0055209816,3380.2329286398963,12659.605150458816,2036.188581824043,4704.76479154496,3855.507442819225,4172.853271988091,3792.934982153818,6839.016923677291,4561.0966621161615,6236.520417228246,9080.284398794034,7289.332006001975,6857.093978332983,12732.810757116025,4623.4585453040345,5775.961754762681,5606.085149109386,5575.792282780025,3971.026468124623,5794.341707482513,9467.719965207767,8791.489441122489,1617.3960323299839,graveyard
21251,6056011.291439,3751682.96101881,6056242.23154667,3751482.96101881,6056126.761492835,3751582.96101881,2419.380239656039,2490.0862207242453,3913.0779599595944,4081.4932497651007,2167.928866438925,2662.1119572646594,1626.2365007539636,1774.7784263967067,3058.474762300128,1709.1049557405638,5258.821491835978,2945.4901910236676,2695.4417694657873,4736.944184904839,2600.586183621248,3116.164561676688,3364.1148409460966,2557.9899499972794,7995.326995105331,3537.793863045567,2030.6829294762754,1491.1812390899674,5201.668333326949,10490.54751679735,1889.089929586758,6339.990603089876,2654.441778372234,4854.517126057965,3725.6411387462595,4580.654876157628,2187.6516675595085,3501.326294900184,2159.620561759977,5970.153394550225,6032.747897849836,4430.980531802894,2278.4049761782708,2298.5366536582433,3313.0006805188823,4376.379625927274,4983.885561930972,4202.810831412189,2697.0028193552766,5939.460468727114,3865.121848927992,3489.2690245878284,9839.098026542928,3246.1697550870163,4898.447202231101,5045.587830642793,4211.28197080366,3232.2785071277654,3936.500734857521,9696.567780798565,9702.427624152306,10294.403255824878,10153.612811511519,5078.138782993767,3985.643786644316,14933.36423925807,3121.266486967745,12061.15817754712,1460.231158670124,4203.73559462098,3676.942564179419,3953.7279527821274,3620.781333519171,6269.631155363771,4180.122742880299,5685.382747674296,8505.039858585695,6767.106846012033,6407.649980001675,12168.32724330165,4331.533910663962,5211.368034576094,5095.532386440785,5064.8647743890515,3528.7074007294614,5297.08160867463,8906.842545334335,8362.193931313948,1460.231158670124,furniture_shop
21250,6056011.291439,3751882.96101881,6056242.23154667,3751682.96101881,6056126.761492835,3751782.96101881,2517.3560399749476,2650.4185842797397,3986.608415092852,4278.945501883997,1981.228664682188,2756.0849331069808,1814.948167100612,1772.5052764302297,3245.09058455716,1896.480751668772,5401.548923266404,2975.157862682159,2843.919937858192,4819.481473365808,2744.2789806012706,3193.020784970104,3411.915871228146,2560.9809184396954,8146.663786650293,3599.9352180811884,2001.6119403332605,1678.1345899183136,5313.127121298837,10680.926755342094,1876.5161992672888,6469.186803825407,2564.4928116776073,5054.29748508135,3771.41028939848,4662.399808558877,2073.5530374888176,3548.3351682096622,2064.5108289383584,6078.986046513893,6175.384930718789,4509.074419717637,2316.3646191428415,2427.3149034596413,3373.816555754452,4485.573458974901,5098.159123317382,4293.663944883868,2881.908867754561,6043.487866999501,4047.9992566524556,3637.923707052437,10032.08386648151,3429.8013109272274,5068.177823618283,5207.181855871419,4377.128907417211,3402.4599803878527,4023.0894601394853,9869.719900488019,9877.220245454033,10433.139158038497,10337.953353500432,5240.169518170345,4052.579291332219,15133.241506911734,3197.4251941834586,12260.62363467083,1650.3145169181937,4367.974268953817,3726.6942850280902,4018.151891884428,3668.172601771801,6458.810574993936,4301.567739489771,5868.030359203726,8696.416326189485,6939.784608194759,6554.786911362855,12356.116509333664,4421.943047975199,5398.71737162585,5263.62015161931,5233.073346399909,3671.176153517746,5460.541577566258,9093.246754127471,8502.99675179631,1650.3145169181937,furniture_shop
21253,6056011.291439,3751282.96101881,6056242.23154667,3751082.96101881,6056126.761492835,3751182.96101881,2264.0758309115085,2189.098174164746,3601.7958812296247,3687.4126738741456,2547.3933081290675,2511.6751187277,1259.3100375323572,1845.5257999994203,2691.01798784724,1345.3032246711377,4985.192965985071,2926.5352860491844,2341.766511618456,4593.595246479472,2338.1640764893477,2996.7784802762444,3302.9481020058884,2598.5940859697184,7699.31812373937,3445.1254118603756,2144.322447961053,1130.7488932919891,4963.1227138417935,10110.903466089663,1975.691320518771,6093.085157473692,2867.91504442018,4455.015538263692,3665.2605012732897,4439.735727912218,2449.1253657519233,3440.4204013712297,2389.0318094830686,5767.152846592286,5757.723813447239,4298.518486007112,2254.3951758261455,2075.113723032242,3225.313042727801,4178.200255968341,4772.304788039367,4044.719583693715,2334.6681089067415,5746.658227315765,3504.982846957165,3208.740746956039,9454.001085229771,2885.442803392374,4566.344498119344,4731.213788232244,3889.2380447271544,2903.3437975269944,3789.1445601917294,9353.47734025608,9355.872265659,10023.144706060124,9786.776808529501,4762.743677725371,3879.339036096205,14533.619834508643,3003.307793617838,11662.282192149929,1090.756205919277,3885.328868958836,3608.769772748174,3852.895654092314,3557.975818173022,5893.416359431696,3956.426215891945,5323.830422692328,8123.533415427309,6426.5063899256365,6122.37469385032,11793.953252229529,4173.655162878593,4839.707827753142,4766.755364263514,4735.868690212907,3261.940995722318,4978.171558536069,8535.880699683767,8088.074833518432,1090.756205919277,furniture_shop
21252,6056011.291439,3751482.96101881,6056242.23154667,3751282.96101881,6056126.761492835,3751382.96101881,2334.463547815188,2335.881011821041,3797.938940573355,3884.3016988466384,2356.8122789310055,2580.2472725542493,1440.574004869976,1799.4171196899665,2873.6601819408147,1524.9394276572948,5119.929315483907,2929.2081904422243,2520.5826003521556,4661.531802926082,2464.7575689129158,3050.5051086087747,3327.666962574386,2570.603412423227,7846.169553648506,3486.0346040199456,2078.6764924942063,1308.0929912462166,5095.624308442633,10300.532901330082,1922.5005794588603,6214.546145274574,2755.9932743731024,4654.755631252892,3690.1582917886226,4506.309600336337,2313.442767364841,3465.2401332036734,2268.4172849696793,5866.122378130935,5893.446814511396,4360.667933227726,2257.590180287612,2180.523757234391,3263.327882140304,4273.760405615016,4875.141448428315,4119.67082394644,2514.40841813303,5840.431124546718,3684.024407120866,3345.968881140715,9646.397941600964,3064.5879209520604,4731.082702117482,4886.836423837489,4048.522471604243,3065.6997206411593,3858.3451461451955,9524.467572581281,9528.626544608647,10157.710573553446,9969.875962770593,4918.903375705728,3927.7619423150045,14733.490302646804,3056.3182250768336,11861.710722175556,1273.1897222139573,4042.7202085630634,3637.521538972328,3898.5105903366602,3583.9398284475183,6081.144267731411,4064.8944972374234,5503.941649269953,8314.069345022792,6595.972992860794,6263.443548005932,11980.933211061913,4248.6223318774155,5024.993962673812,4929.82793837685,4899.046204813034,3392.0521059925345,5136.208019306482,8721.040747715024,8223.844656165935,1273.1897222139573,furniture_shop
21255,6056011.291439,3750882.96101881,6056242.23154667,3750682.96101881,6056126.761492835,3750782.96101881,2172.251825225879,1924.51870492913,3210.9376072233404,3294.7590666112856,2932.3215653577877,2418.7153059134794,920.3686135864249,1995.5181016778151,2334.2852760980163,1009.2778521716257,4729.597692533488,2961.976552163322,1996.2309221172166,4481.472343555612,2119.1918267888923,2927.6066922050727,3289.6297156389537,2698.5310565169543,7413.079345482754,3397.3214139214692,2322.189561942138,808.4334428685063,4696.191007372188,9732.890146250746,2134.9593967755704,5863.095822616621,3118.302783447313,4055.6122059624713,3647.9949547209803,4331.293983665137,2744.195746619232,3425.4487666557347,2659.132377800588,5585.460800816298,5498.065098274414,4200.111174227832,2300.7533509923414,1910.215479683648,3185.7989481543805,4010.238911550841,4573.748744450379,3921.210799841715,1986.838229419308,5575.927806525101,3154.4639176676865,2955.847769490828,9070.194213087745,2536.5216861789268,4245.965044364345,4430.667135227736,3582.9386402072582,2594.452941495922,3679.5645069121083,9015.079033582962,9013.744499415367,9760.743885775528,9422.640154110255,4460.9372535466755,3812.2416397630436,14133.889892230458,2935.5426966309524,11263.48592909242,753.1421942447118,3583.318000184535,3584.2058988188014,3791.7865338170245,3539.5375941282364,5520.546888391244,3762.07265454151,4968.175092689087,7743.893549565152,6093.130040805558,5850.552582242308,11421.316856276857,4049.2726282647886,4472.93940538306,4449.658762669678,4418.602643260737,3024.688777243857,4671.756689241837,8167.66028377098,7824.808092233611,753.1421942447118,furniture_shop
21254,6056011.291439,3751082.96101881,6056242.23154667,3750882.96101881,6056126.761492835,3750982.96101881,2209.606001113638,2051.3316481926468,3406.101428871712,3490.8773635337684,2739.3176549063364,2457.5084570654017,1084.6520537722558,1911.551460540277,2511.0222580779127,1172.2803737149939,4854.958457151056,2937.5086277368023,2166.6573667004463,4533.470616124727,2222.3844455127614,2955.635481930301,3290.2226239693205,2641.473176716291,7554.907178548408,3415.456184240657,2226.059649068585,962.3299047700026,4827.359373942224,9921.681296523508,2047.1208830762184,5975.850540358698,2989.0424011099994,4255.299860839581,3651.1643164793236,4381.287533741312,2593.1472531397612,3427.111888394853,2519.767646965624,5673.509685962162,5625.837863678647,4244.890755391614,2268.8943993595963,1984.3160209930982,3199.371747832035,4090.193975026758,4672.309611303879,3978.419953166757,2158.4949998353286,5658.403117715978,3328.3289625074112,3078.3967594821092,9261.92635423798,2709.21782403195,4404.527286410468,4579.038937001194,3733.873449117105,2745.9598751871185,3729.397502181681,9183.659083841012,9184.223858118552,9890.792460726427,9604.3518202381,4609.972262378243,3840.73285174347,14333.752979937204,2962.8760206047236,11462.873575247184,915.6888842568625,3732.020117202709,3590.9435527329306,3817.227399524396,3543.128441289639,5706.522335562325,3855.288514485398,5145.188729347087,7933.463381731866,6258.842467817918,5984.665295966055,11607.407377344205,4107.0674596746985,4655.639525470351,4606.594176120686,4575.61479858006,3139.187893290146,4823.251114636956,8351.4050862811,7955.016536528344,915.6888842568625,furniture_shop
21257,6056011.291439,3750482.96101881,6056242.23154667,3750282.96101881,6056126.761492835,3750382.96101881,2152.049399125561,1713.2990617848263,2822.6418591311954,2904.11129032392,2869.7548148959145,2389.948861395253,654.4425101720155,2208.669171647072,1994.0405435944813,739.8937757933755,4495.112874926407,3049.9182629440515,1675.1135465681816,4402.961667290422,1958.299453319742,2912.2294945009157,3324.734751447902,2851.5694805380817,7137.786154985629,3358.3557610297057,2550.8841530646496,590.3695481775752,4449.25082264357,9356.705205219718,2352.1792146406297,5652.0879782734055,3397.4531338193487,3656.3393283628143,3674.4523179849984,4257.811857300343,3063.1691978009767,3457.008239474592,2958.7999287908724,5427.217773311972,5256.049480150377,4138.1888039578525,2413.427926294212,1819.8212533458682,3196.2455557314497,3876.4255283004004,4397.337663213849,3835.6266453964395,1662.6416093126984,5429.3518052879635,2817.1582238615533,2738.2576379208376,8687.848387646687,2205.0179947708207,3940.169570008761,4146.95534294926,3296.7750955179476,2313.6479690383358,3611.2011053144242,8681.921538968792,8676.56809747692,9507.934192493529,9061.528273295347,4175.667015034619,3786.43648869311,13734.175675204011,2921.46609500795,10864.778167104403,514.4873455703869,3302.2046212989344,3604.1426966137287,3772.3315488897333,3566.1549093933404,5151.749169770918,3601.8152248971555,4619.778905277617,7366.408857946284,5768.2304919775215,5502.64253526207,11050.59383685656,3961.54265626482,4112.371820548587,4146.9228960364235,4115.780167492261,2824.3982259582267,4380.459914293735,7802.56942954985,7573.525523029219,514.4873455703869,furniture_shop
21256,6056011.291439,3750682.96101881,6056242.23154667,3750482.96101881,6056126.761492835,3750582.96101881,2152.904388085297,1810.961888159834,3016.40741465744,3099.136951927434,2922.836934739005,2396.042496612341,773.1019932697259,2095.2699114801408,2161.606513649809,861.999008799299,4609.508330155573,2999.6088500173637,1831.794651197724,4437.886085158263,2030.5061865950129,2913.070679959979,3301.1759142387555,2768.8913273477106,7273.9857223095905,3390.906166869115,2431.005380902043,679.0069347818256,4570.013285567006,9544.555591968927,2237.2749812738393,5755.084323419042,3254.727334643731,3855.9569272285976,3655.780834980063,4290.05066316828,2901.1735410105825,3435.4479490146923,2805.840517677393,5503.274712224023,5374.698873548745,4164.465178932081,2349.2658786862835,1854.8143536419427,3184.7527840159432,3938.8253962428644,4481.950250821647,3873.494927043951,1820.975462616118,5499.492336987274,2983.875254274058,2842.1022965435027,8878.82685578071,2368.12654029711,4091.0362622682132,4286.493315030514,3437.0172628252544,2449.9135689113664,3640.0527732130113,8847.80796555162,8844.501790685981,9633.092281622032,9241.683886651337,4316.025729796376,3794.093277902497,13934.030733478734,2921.675466921705,11064.120387433686,613.1559318410783,3439.819999024261,3588.6192680947343,3776.7797415777995,3547.237461605674,5335.586071612077,3677.3811042880743,4792.9698979476325,7554.861572835939,5929.532726224992,5680.636336025975,11235.704314341983,4000.6517616146093,4291.782200593983,4296.302631907706,4265.1902481690895,2919.414970330607,4524.032472485699,7984.696744837455,7697.594121810385,613.1559318410783,furniture_shop
21259,6056011.291439,3750082.96101881,6056242.23154667,3749882.96101881,6056126.761492835,3749982.96101881,2205.4376527928,1402.470273657436,2438.1332638635795,2516.4036771067667,2803.6630679712302,2427.6588288119883,574.0310212571264,2468.6730292698735,1680.3296190894089,409.4090005048383,4285.20538404406,3154.453505272052,1395.3755384753993,4359.879415901761,1870.5345490035618,2951.48781346598,3406.7666003053196,3049.7257486019853,6874.753596034262,3189.826842822991,2818.0588288961767,602.9160598976961,4225.8082999428125,8982.57836012504,2612.937521199945,5462.261839485638,3698.8597356134724,3257.244879205966,3743.7057155472207,4221.115498467316,3379.3414116342924,3533.852385514587,3279.940401068034,5294.5267173234,5034.22212965567,4114.399017904163,2583.7574825689567,1815.096584051555,3256.172041984965,3780.3880257457176,4251.350311521817,3790.5368206831845,1378.8502790926177,5308.931262277515,2498.4231644527704,2564.9705157876,8307.165349885596,1900.0701171457529,3652.622800520488,3883.769556712096,3036.4457448412463,2072.3773265584596,3586.4121187505616,8354.63184322765,8344.943259217991,9265.500742748382,8703.817657879272,3910.5535235840584,3802.7642900750493,13334.478597569416,2961.843575346051,10466.169020511474,531.1979788670003,3047.776703009849,3667.8545813568817,3795.171341515624,3636.838640266206,4787.964188414993,3480.3671028431604,4280.414759772691,6991.428439014603,5453.323053239313,5151.501358659329,10681.983409595363,3912.931333003049,3759.789496322318,3861.926450249822,3830.8280378025947,2669.4022698737285,4107.498941934459,7441.068800569035,7335.458814257319,409.4090005048383,school
